"","algorithm","iomode","image","nthreads","imsize","media","desv_pad"
"170","omp","withoutIO","seahorse",16,8192,15.1393,0.0196310709684525
"171","omp","withoutIO","seahorse",32,16,0.0016,0.000502624689950035
"172","omp","withoutIO","seahorse",32,32,0.002,0
"173","omp","withoutIO","seahorse",32,64,0.0027,0.000470162345981627
"174","omp","withoutIO","seahorse",32,128,0.0061,0.00102083557106808
"175","omp","withoutIO","seahorse",32,256,0.01765,0.00126802789276975
"176","omp","withoutIO","seahorse",32,512,0.06275,0.0021244194253341
"177","omp","withoutIO","seahorse",32,1024,0.23905,0.00235025194618073
"178","omp","withoutIO","seahorse",32,2048,0.94985,0.00232322371308762
"179","omp","withoutIO","seahorse",32,4096,3.8027,0.00618231773945494
"180","omp","withoutIO","seahorse",32,8192,15.20615,0.0134566555632285
"181","omp","withoutIO","triple_spiral",1,16,0.001,0
"182","omp","withoutIO","triple_spiral",1,32,0.00295,0.000223606797749979
"183","omp","withoutIO","triple_spiral",1,64,0.00815,0.000366347548532523
"184","omp","withoutIO","triple_spiral",1,128,0.02945,0.000510417785534039
"185","omp","withoutIO","triple_spiral",1,256,0.11485,0.00122581873821025
"186","omp","withoutIO","triple_spiral",1,512,0.46,0.0121091526932056
"187","omp","withoutIO","triple_spiral",1,1024,1.83235,0.0110132695083321
"188","omp","withoutIO","triple_spiral",1,2048,7.322,0.0395274721254923
"189","omp","withoutIO","triple_spiral",1,4096,29.1653,0.113910444971847
"190","omp","withoutIO","triple_spiral",1,8192,116.5264,0.350717069955107
"191","omp","withoutIO","triple_spiral",2,16,0.001,0
"192","omp","withoutIO","triple_spiral",2,32,0.002,0
"193","omp","withoutIO","triple_spiral",2,64,0.0046,0.000502624689950035
"194","omp","withoutIO","triple_spiral",2,128,0.0156,0.000598243041616119
"195","omp","withoutIO","triple_spiral",2,256,0.05845,0.000944513241388331
"196","omp","withoutIO","triple_spiral",2,512,0.22985,0.003166851333489
"197","omp","withoutIO","triple_spiral",2,1024,0.91235,0.00574250083060279
"198","omp","withoutIO","triple_spiral",2,2048,3.64435,0.0191318830063437
"199","omp","withoutIO","triple_spiral",2,4096,14.5661,0.0581756867283558
"200","omp","withoutIO","triple_spiral",2,8192,58.3457,0.263598199019485
"201","omp","withoutIO","triple_spiral",4,16,0.001,0
"202","omp","withoutIO","triple_spiral",4,32,0.0014,0.000502624689950035
"203","omp","withoutIO","triple_spiral",4,64,0.003,0
"204","omp","withoutIO","triple_spiral",4,128,0.0086,0.000502624689950034
"205","omp","withoutIO","triple_spiral",4,256,0.0301,0.000307793505625547
"206","omp","withoutIO","triple_spiral",4,512,0.11645,0.00279990601346019
"207","omp","withoutIO","triple_spiral",4,1024,0.45565,0.00175544266422131
"208","omp","withoutIO","triple_spiral",4,2048,1.8223,0.00537146456554888
"209","omp","withoutIO","triple_spiral",4,4096,7.2842,0.0210877864377016
"210","omp","withoutIO","triple_spiral",4,8192,29.14035,0.0649042006588007
"211","omp","withoutIO","triple_spiral",8,16,0.001,0
"212","omp","withoutIO","triple_spiral",8,32,0.001,0
"213","omp","withoutIO","triple_spiral",8,64,0.002,0
"214","omp","withoutIO","triple_spiral",8,128,0.005,0
"215","omp","withoutIO","triple_spiral",8,256,0.016,0
"216","omp","withoutIO","triple_spiral",8,512,0.0677,0.00372897615410648
"217","omp","withoutIO","triple_spiral",8,1024,0.2722,0.0058812816361921
"218","omp","withoutIO","triple_spiral",8,2048,1.0742,0.00246234804500436
"219","omp","withoutIO","triple_spiral",8,4096,4.2866,0.00458142703578382
"220","omp","withoutIO","triple_spiral",8,8192,17.1131,0.0100624366621085
"221","omp","withoutIO","triple_spiral",16,16,0.0011,0.000307793505625546
"222","omp","withoutIO","triple_spiral",16,32,0.00165,0.000489360484929593
"223","omp","withoutIO","triple_spiral",16,64,0.00235,0.000489360484929593
"224","omp","withoutIO","triple_spiral",16,128,0.0063,0.000571240570577479
"225","omp","withoutIO","triple_spiral",16,256,0.01915,0.000988086934168085
"226","omp","withoutIO","triple_spiral",16,512,0.07175,0.00460977222864644
"227","omp","withoutIO","triple_spiral",16,1024,0.2709,0.00161896653195146
"228","omp","withoutIO","triple_spiral",16,2048,1.08355,0.0162658020333912
"229","omp","withoutIO","triple_spiral",16,4096,4.32455,0.0227445192935515
"230","omp","withoutIO","triple_spiral",16,8192,17.26485,0.0437905000512305
"231","omp","withoutIO","triple_spiral",32,16,0.0023,0.00231925577899917
"232","omp","withoutIO","triple_spiral",32,32,0.002,0
"233","omp","withoutIO","triple_spiral",32,64,0.003,0.000324442842261525
"234","omp","withoutIO","triple_spiral",32,128,0.0063,0.000470162345981627
"235","omp","withoutIO","triple_spiral",32,256,0.01955,0.000944513241388333
"236","omp","withoutIO","triple_spiral",32,512,0.071,0.00229415733870561
"237","omp","withoutIO","triple_spiral",32,1024,0.273,0.006553424175273
"238","omp","withoutIO","triple_spiral",32,2048,1.0831,0.00470050389236145
"239","omp","withoutIO","triple_spiral",32,4096,4.33825,0.0114150178089632
"240","omp","withoutIO","triple_spiral",32,8192,17.36685,0.0564365269922532
"241","pth","withoutIO","elephant",1,16,0.00155,0.00223547946111179
"242","pth","withoutIO","elephant",1,32,0.0026,0.000502624689950035
"243","pth","withoutIO","elephant",1,64,0.00715,0.000366347548532523
"244","pth","withoutIO","elephant",1,128,0.02655,0.00068633274115326
"245","pth","withoutIO","elephant",1,256,0.10265,0.00169441808051583
"246","pth","withoutIO","elephant",1,512,0.40315,0.00452216762183799
"247","pth","withoutIO","elephant",1,1024,1.5984,0.0102823302703946
"248","pth","withoutIO","elephant",1,2048,6.37675,0.0321048856750889
"249","pth","withoutIO","elephant",1,4096,25.6986,0.253848151875341
"250","pth","withoutIO","elephant",1,8192,102.9901,0.379254795618988
"251","pth","withoutIO","elephant",2,16,0.001,0
"252","pth","withoutIO","elephant",2,32,0.002,0
"253","pth","withoutIO","elephant",2,64,0.00405,0.000223606797749979
"254","pth","withoutIO","elephant",2,128,0.01485,0.000366347548532523
"255","pth","withoutIO","elephant",2,256,0.05455,0.00105006265477226
"256","pth","withoutIO","elephant",2,512,0.21255,0.00153811230854064
"257","pth","withoutIO","elephant",2,1024,0.84345,0.00562396189251146
"258","pth","withoutIO","elephant",2,2048,3.37255,0.025580574455506
"259","pth","withoutIO","elephant",2,4096,13.4774,0.0721375878370448
"260","pth","withoutIO","elephant",2,8192,54.8865,0.340965116289505
"261","pth","withoutIO","elephant",4,16,0.00115,0.000366347548532523
"262","pth","withoutIO","elephant",4,32,0.002,0
"263","pth","withoutIO","elephant",4,64,0.00305,0.000223606797749979
"264","pth","withoutIO","elephant",4,128,0.009,0.000324442842261525
"265","pth","withoutIO","elephant",4,256,0.03055,0.0006048053188293
"266","pth","withoutIO","elephant",4,512,0.11835,0.00187153188029148
"267","pth","withoutIO","elephant",4,1024,0.4675,0.00914503028684805
"268","pth","withoutIO","elephant",4,2048,1.83675,0.0112571614632876
"269","pth","withoutIO","elephant",4,4096,7.39825,0.115492936671697
"270","pth","withoutIO","elephant",4,8192,30.0904,0.563163190334177
